iter	Passed	Remaining
0	50	502995
1	78	391669
2	106	355074
3	138	344882
4	166	331994
5	196	326573
6	233	333457
7	260	325464
8	294	326833
9	322	322267
10	353	321193
11	382	318609
12	413	317734
13	444	317195
14	476	317481
15	506	315758
16	538	316085
17	567	314445
18	597	313678
19	686	342537
20	728	346170
21	808	366634
22	859	372656
23	899	373987
24	927	370245
25	963	369434
26	994	367363
27	1042	371187
28	1069	367881
29	1103	366854
30	1135	365008
31	1166	363438
32	1195	361151
33	1224	358830
34	1253	356775
35	1284	355621
36	1311	353216
37	1345	352741
38	1383	353347
39	1413	352002
40	1439	349543
41	1474	349520
42	1508	349232
43	1539	348266
44	1568	346967
45	1608	348123
46	1648	349074
47	1694	351282
48	1727	350860
49	1758	349845
50	1793	349914
51	1827	349644
52	1859	348919
53	1886	347496
54	1907	344999
55	1928	342494
56	1950	340318
57	1976	338722
58	1997	336625
59	2021	334838
60	2044	333096
61	2063	330718
62	2083	328565
63	2102	326463
64	2125	324812
65	2149	323585
66	2180	323337
67	2210	322867
68	2239	322270
69	2261	320839
70	2288	320001
71	2310	318629
72	2331	317027
73	2357	316201
74	2385	315638
75	2414	315328
76	2442	314821
77	2466	313714
78	2502	314318
79	2529	313668
80	2555	312892
81	2578	311862
82	2605	311362
83	2634	311006
84	2665	310959
85	2696	310903
86	2727	310834
87	2755	310353
88	2777	309344
89	2806	308987
90	2832	308411
91	2857	307728
92	2884	307236
93	2917	307437
94	2940	306590
95	2970	306479
96	2995	305812
97	3016	304804
98	3034	303519
99	3054	302381
100	3073	301213
101	3095	300418
102	3114	299281
103	3140	298856
104	3167	298539
105	3193	298060
106	3218	297547
107	3238	296609
108	3255	295390
109	3276	294569
110	3301	294125
111	3331	294122
112	3351	293210
113	3373	292588
114	3405	292697
115	3434	292636
116	3476	293627
117	3499	293050
118	3519	292265
119	3541	291617
120	3565	291104
121	3583	290177
122	3605	289563
123	3627	288881
124	3646	288094
125	3668	287485
126	3688	286715
127	3706	285828
128	3725	285065
129	3745	284390
130	3765	283680
131	3785	282994
132	3805	282333
133	3826	281723
134	3845	281005
135	3868	280549
136	3886	279824
137	3907	279209
138	3929	278752
139	3948	278069
140	3977	278085
141	3997	277493
142	4014	276720
143	4043	276784
144	4067	276429
145	4087	275891
146	4109	275447
147	4139	275527
148	4166	275479
149	4194	275431
150	4221	275328
151	4249	275303
152	4271	274904
153	4290	274336
154	4310	273777
155	4330	273283
156	4349	272719
157	4369	272195
158	4392	271855
159	4423	272024
160	4456	272346
161	4496	273045
162	4518	272679
163	4538	272191
164	4557	271676
165	4581	271404
166	4612	271605
167	4633	271152
168	4663	271289
169	4684	270864
170	4712	270843
171	4733	270496
172	4755	270123
173	4775	269653
174	4794	269204
175	4824	269270
176	4843	268825
177	4864	268401
178	4884	267985
179	4908	267805
180	4928	267375
181	4950	267059
182	4989	267647
183	5009	267255
184	5030	266881
185	5049	266454
186	5071	266155
187	5092	265792
188	5112	265394
189	5140	265402
190	5169	265510
191	5198	265540
192	5227	265650
193	5254	265571
194	5276	265314
195	5299	265058
196	5319	264706
197	5341	264444
198	5364	264232
199	5385	263884
200	5417	264117
201	5445	264125
202	5479	264431
203	5510	264631
204	5538	264618
205	5558	264251
206	5579	263944
207	5603	263783
208	5623	263432
209	5643	263078
210	5662	262680
211	5686	262536
212	5713	262524
213	5731	262107
214	5749	261678
215	5767	261253
216	5793	261180
217	5811	260766
218	5838	260765
219	5860	260513
220	5882	260272
221	5901	259935
222	5919	259536
223	5944	259428
224	5970	259394
225	6011	259983
226	6030	259643
227	6056	259560
228	6077	259332
229	6108	259457
230	6125	259067
231	6155	259183
232	6185	259273
233	6204	258935
234	6228	258823
235	6256	258859
236	6283	258829
237	6309	258780
238	6338	258878
239	6360	258645
240	6379	258339
241	6398	258016
242	6416	257629
243	6436	257343
244	6455	257018
245	6481	256985
246	6500	256677
247	6521	256458
248	6545	256324
249	6565	256073
250	6583	255723
251	6604	255487
252	6623	255166
253	6642	254874
254	6671	254963
255	6689	254632
256	6719	254748
257	6740	254520
258	6760	254261
259	6780	254023
260	6804	253913
261	6823	253631
262	6848	253558
263	6868	253304
264	6889	253093
265	6916	253090
266	6942	253093
267	6971	253167
268	6996	253080
269	7019	252968
270	7047	253015
271	7069	252830
272	7087	252540
273	7115	252585
274	7135	252345
275	7155	252113
276	7175	251857
277	7195	251628
278	7219	251529
279	7252	251772
280	7276	251681
281	7305	251747
282	7329	251658
283	7349	251429
284	7368	251175
285	7388	250966
286	7410	250780
287	7435	250754
288	7455	250508
289	7475	250285
290	7494	250037
291	7516	249883
292	7544	249957
293	7571	249968
294	7601	250075
295	7630	250141
296	7655	250094
297	7685	250209
